Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
1,5.1,3.5,1.4,0.2,Rosa 
2,4.9,3,1.4,0.2,Rosa 
3,4.7,3.2,1.3,0.2,Rosa 
4,4.6,3.1,1.5,0.2,Rosa 
5,5,3.6,1.4,0.2,Rosa 
6,5.4,3.9,1.7,0.4,Rosa 
7,4.6,3.4,1.4,0.3,Rosa 
8,5,3.4,1.5,0.2,Rosa 
9,4.4,2.9,1.4,0.2,Rosa 
10,4.9,3.1,1.5,0.1,Rosa 
11,5.4,3.7,1.5,0.2,Rosa 
12,4.8,3.4,1.6,0.2,Rosa 
13,4.8,3,1.4,0.1,Rosa 
14,4.3,3,1.1,0.1,Rosa 
15,5.8,4,1.2,0.2,Rosa 
16,5.7,4.4,1.5,0.4,Rosa 
17,5.4,3.9,1.3,0.4,Rosa 
18,5.1,3.5,1.4,0.3,Rosa 
19,5.7,3.8,1.7,0.3,Rosa 
20,5.1,3.8,1.5,0.3,Rosa 
21,5.4,3.4,1.7,0.2,Rosa 
22,5.1,3.7,1.5,0.4,Rosa 
23,4.6,3.6,1,0.2,Rosa 
24,5.1,3.3,1.7,0.5,Rosa 
25,4.8,3.4,1.9,0.2,Rosa 
26,5,3,1.6,0.2,Rosa 
27,5,3.4,1.6,0.4,Rosa 
28,5.2,3.5,1.5,0.2,Rosa 
29,5.2,3.4,1.4,0.2,Rosa 
30,4.7,3.2,1.6,0.2,Rosa 
31,4.8,3.1,1.6,0.2,Rosa 
32,5.4,3.4,1.5,0.4,Rosa 
33,5.2,4.1,1.5,0.1,Rosa 
34,5.5,4.2,1.4,0.2,Rosa 
35,4.9,3.1,1.5,0.1,Rosa 
36,5,3.2,1.2,0.2,Rosa 
37,5.5,3.5,1.3,0.2,Rosa 
38,4.9,3.1,1.5,0.1,Rosa 
39,4.4,3,1.3,0.2,Rosa 
40,5.1,3.4,1.5,0.2,Rosa 
41,5,3.5,1.3,0.3,Rosa 
42,4.5,2.3,1.3,0.3,Rosa 
43,4.4,3.2,1.3,0.2,Rosa 
44,5,3.5,1.6,0.6,Rosa 
45,5.1,3.8,1.9,0.4,Rosa 
46,4.8,3,1.4,0.3,Rosa 
47,5.1,3.8,1.6,0.2,Rosa 
48,4.6,3.2,1.4,0.2,Rosa 
49,5.3,3.7,1.5,0.2,Rosa 
